8/19/2012 12:17,C,20
8/19/2012 13:17,C,20
8/19/2012 14:17,C,20.5
8/19/2012 15:17,C,21
8/19/2012 16:17,C,21
8/19/2012 17:17,C,21
8/19/2012 18:17,C,21.5
8/19/2012 19:17,C,22
8/19/2012 20:17,C,22.5
8/19/2012 21:17,C,22.5
8/19/2012 22:17,C,22.5
8/19/2012 23:17,C,22
8/20/2012 0:17,C,22
8/20/2012 1:17,C,22
8/20/2012 2:17,C,21.5
8/20/2012 3:17,C,21.5
8/20/2012 4:17,C,21
8/20/2012 5:17,C,20.5
8/20/2012 6:17,C,20.5
8/20/2012 7:17,C,20
8/20/2012 8:17,C,20
8/20/2012 9:17,C,20
8/20/2012 10:17,C,20
8/20/2012 11:17,C,20
8/20/2012 12:17,C,20
8/20/2012 13:17,C,20.5
8/20/2012 14:17,C,20.5
8/20/2012 15:17,C,21
8/20/2012 16:17,C,21
8/20/2012 17:17,C,21.5
8/20/2012 18:17,C,21.5
8/20/2012 19:17,C,22
8/20/2012 20:17,C,22
8/20/2012 21:17,C,22
8/20/2012 22:17,C,22.5
8/20/2012 23:17,C,22
8/21/2012 0:17,C,21.5
8/21/2012 1:17,C,21.5
8/21/2012 2:17,C,21
8/21/2012 3:17,C,21
8/21/2012 4:17,C,20.5
8/21/2012 5:17,C,20
8/21/2012 6:17,C,19.5
8/21/2012 7:17,C,19.5
8/21/2012 8:17,C,19.5
8/21/2012 9:17,C,19.5
8/21/2012 10:17,C,20
8/21/2012 11:17,C,20
8/21/2012 12:17,C,20
8/21/2012 13:17,C,20
8/21/2012 14:17,C,20.5
8/21/2012 15:17,C,20.5
8/21/2012 16:17,C,20.5
8/21/2012 17:17,C,20.5
8/21/2012 18:17,C,21
8/21/2012 19:17,C,21
8/21/2012 20:17,C,21
8/21/2012 21:17,C,21
8/21/2012 22:17,C,21.5
8/21/2012 23:17,C,21
8/22/2012 0:17,C,20.5
8/22/2012 1:17,C,20.5
8/22/2012 2:17,C,20
8/22/2012 3:17,C,20
8/22/2012 4:17,C,19.5
8/22/2012 5:17,C,19.5
8/22/2012 6:17,C,19
8/22/2012 7:17,C,19
8/22/2012 8:17,C,19
8/22/2012 9:17,C,19
8/22/2012 10:17,C,19
8/22/2012 11:17,C,19.5
8/22/2012 12:17,C,19.5
8/22/2012 13:17,C,19.5
8/22/2012 14:17,C,20
8/22/2012 15:17,C,20.5
8/22/2012 16:17,C,20.5
8/22/2012 17:17,C,21
8/22/2012 18:17,C,21
8/22/2012 19:17,C,21.5
8/22/2012 20:17,C,21.5
8/22/2012 21:17,C,22
8/22/2012 22:17,C,22
8/22/2012 23:17,C,22
8/23/2012 0:17,C,22
8/23/2012 1:17,C,22
8/23/2012 2:17,C,22
8/23/2012 3:17,C,21.5
8/23/2012 4:17,C,21.5
8/23/2012 5:17,C,21
8/23/2012 6:17,C,21
8/23/2012 7:17,C,20.5
8/23/2012 8:17,C,20.5
8/23/2012 9:17,C,20.5
8/23/2012 10:17,C,20.5
8/23/2012 11:17,C,20.5
8/23/2012 12:17,C,20.5
8/23/2012 13:17,C,21
8/23/2012 14:17,C,21
8/23/2012 15:17,C,21.5
